time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
258.93,167.72,2.554199,159.8889,0.4,235.2776,68.99966,80.7198,20
259.93,239.7778,79.77777,159.7778,0,232.4998,77.77771,77.94194,20
260.94,236.9999,76.99991,156.9999,0,229.7219,74.99985,75.16408,20
261.94,207.4998,47.49982,154.1665,20,226.8885,72.16643,72.33066,20
262.95,204.722,44.72196,151.3886,20,224.1106,69.38857,69.5528,20
263.95,201.9441,79.94444,148.6108,20,221.3328,79.55554,66.77493,20
264.95,199.1662,79.77777,145.8329,20,218.5549,76.77768,63.99707,20
265.96,196.3884,79.05553,143.055,20,238.5555,73.99982,61.21921,20
266.98,193.555,78.8333,140.2216,20,235.7221,71.1664,58.38579,20
267.98,190.7215,80,137.3882,20,232.8887,68.33298,55.55237,20
268.98,187.9437,79.6111,134.6103,20,230.1108,65.55511,52.77451,20
270.01,185.1103,79.72221,131.7769,20,227.2774,62.72169,49.94109,20
271.04,182.2768,79.94444,128.9435,20,224.444,59.88828,47.10767,20
272.04,179.499,79.38887,126.1656,20,221.6661,57.11041,44.3298,20
273.05,176.6656,78.4444,123.3322,20,205.4994,79.88889,41.49638,30
274.07,173.8321,75.61098,120.4988,20,239,78.38884,38.66296,30
275.10,157.6098,79.83333,117.6098,30,239.5,75.49986,35.77399,30
276.11,154.832,78.66663,114.832,30,239.8889,72.722,32.99612,30
277.11,152.0541,79.88889,112.0541,30,237.8333,69.94414,30.21832,30
278.12,149.2762,80,109.2762,30,235.0554,78.72218,27.44056,30
279.12,146.4428,77.16658,106.4428,30,232.222,77.77771,24.60723,30
280.13,143.665,77.44437,103.6649,30,229.4441,78.66663,21.82947,30
281.16,140.8315,77.94438,100.8315,30,226.6107,75.83321,18.99615,30
282.16,124.7203,79.33331,98.05367,40,223.8328,73.05534,16.21838,30
283.16,121.9425,79.94444,95.2758,40,221.055,70.27748,13.44061,30
284.18,119.1091,78.38884,92.44238,40,218.2216,67.44406,10.60729,30
285.19,116.2756,79.88889,89.60896,40,215.3881,64.61064,7.773966,30
286.19,113.4978,79.83333,86.8311,40,212.6103,61.83278,4.996199,30
287.20,110.7199,79.38887,84.05324,40,209.8324,59.05492,2.218424,10
288.20,107.9421,77.33325,81.27538,40,239.4444,79.44443,159.4444,0
289.20,105.1642,80,78.49751,40,236.6666,76.66656,156.6666,0
290.22,102.2752,79.27776,75.60854,40,233.7776,73.77759,153.7776,0
291.22,99.49735,76.49989,72.83067,40,230.9997,78.22217,150.9997,0
292.22,83.38615,60.3887,70.05281,50,214.8885,62.11097,148.2219,10
293.23,80.60829,79.72221,67.27495,50,212.1107,59.33311,145.444,10
294.23,77.83043,78.8333,64.49709,50,209.3328,56.55525,142.6661,10
295.25,238.8889,75.99988,61.66367,50,206.4994,79.6111,139.8327,10
296.25,236.111,73.22202,58.8858,50,238.9444,76.83324,137.0549,10
297.26,233.3331,77.49992,56.10794,50,236.1665,74.05537,134.277,10
298.26,230.5553,80,53.33008,50,239.1666,71.27751,131.4991,10
299.26,227.7218,78.72218,50.49666,50,236.3332,68.44409,128.6657,10
300.27,224.944,75.94432,47.7188,50,233.5554,65.66623,125.8878,10
301.27,222.1661,73.16646,44.94093,50,238.9444,62.88837,123.11,10
302.27,219.3883,70.3886,42.16307,50,236.1665,79.88889,120.3321,10
303.28,216.5548,67.55518,39.32965,50,233.3331,79.83333,117.4987,10
304.29,200.4436,51.44398,36.55179,60,230.5553,77.94438,114.7208,10
305.30,197.6658,78.61107,33.77393,60,214.4441,61.83318,111.943,20
306.30,239.2222,75.77765,30.94054,60,239.0555,58.99976,109.1096,20
307.32,236.4443,78.0555,28.16278,60,239.9444,56.2219,106.3317,20
308.32,233.6109,78.22217,25.32945,60,237.111,53.38848,103.4983,20
309.35,230.7775,78.72218,22.49613,60,234.2776,80,100.6649,20
310.36,227.9996,79.55554,19.71836,60,231.4997,79.44443,97.88699,20
311.36,225.2218,76.77768,16.9406,60,228.7219,76.66656,95.10913,20
312.37,222.3884,73.94426,14.10728,60,212.5551,60.49981,92.27571,30
